sub_id,age,sex
CON_101,29,M
CON_102,27,F
CON_103,24,M
CON_104,28,M
CON_105,23,M
CON_106,25,M
CON_107,20,F
CON_108,20,F
CON_109,21,F
CON_110,20,F
CON_111,19,M
CON_112,19,F
CON_113,20,F
CON_114,23,M
CON_115,20,F
CON_117,23,M
CON_118,28,M
CON_119,19,M
CON_124,22,M
CON_128,22,F
CON_129,21,F
CON_130,24,M
CON_131,23,M
CON_133,22,F
CON_135,22,F
CON_137,25,M
CON_138,26,M
CON_140,22,F
CON_143,25,M
CON_146,20,F
CON_150,21,M
CON_151,27,M
CON_116,20,M
CON_120,18,F
CON_121,21,M
CON_122,21,F
CON_125,22,M
CON_126,21,M
CON_136,20,F
CON_142,19,F
CON_147,20,F
CON_148,23,F
CON_149,23,M
CON_152,21,M
CON_153,20,F
CON_154,20,F
CON_155,21,F
CON_156,21,M
CON_157,20,F
CON_158,20,F
CON_159,20,M
CON_160,26,F
CON_161,21,F
CON_162,22,M
CON_163,21,M
CON_164,20,F
CON_165,18,F
CON_167,22,F
CON_168,29,F
CON_169,21,M
CON_170,20,M
CON_171,21,M
